1|1|101|5|0|John Doe|9876543210
2|1|102|8|1|Jane Smith|9123456789
3|1|105|3|2|Joel|8768758567
4|2|103|15|0|Brad|8758585870
5|2|101|10|1|Noel|9785885800
6|2|106|7|2|Marsh|8768585670
7|3|105|12|0|Sarah Wilson|9234567890
8|3|108|6|1|Mike Johnson|8765432109
9|3|107|9|2|Emily Davis|9345678901
10|4|107|8|0|Robert Brown|8654321098
11|4|110|14|1|Linda Garcia|9456789012
12|4|113|5|2|David Martinez|8543210987
13|5|102|10|0|Maria Rodriguez|9567890123
14|5|111|7|1|James Wilson|8432109876
15|5|108|12|2|Patricia Anderson|9678901234
16|6|106|9|0|Michael Taylor|8321098765
17|6|115|11|1|Jennifer Thomas|9789012345
18|6|109|6|2|William Moore|8210987654
19|7|104|13|0|Elizabeth Jackson|9890123456
20|7|110|8|1|Christopher White|8109876543
21|7|113|10|2|Jessica Harris|9901234567
22|8|105|7|0|Daniel Martin|8098765432
23|8|114|15|1|Sarah Thompson|9012345678
24|8|111|9|2|Matthew Garcia|7987654321
25|9|103|11|0|Nancy Martinez|9123456780
26|9|116|6|1|Joseph Robinson|7876543210
27|9|112|8|2|Karen Clark|9234567801
28|10|107|10|0|Thomas Rodriguez|7765432109
29|10|115|13|1|Lisa Lewis|9345678012
30|10|110|7|2|Charles Lee|7654321098
31|11|108|9|0|Betty Walker|9456780123
32|11|117|12|1|Paul Hall|7543210987
33|11|113|5|2|Sandra Allen|9567801234
34|12|109|14|0|Mark Young|7432109876
35|12|120|8|1|Dorothy Hernandez|9678012345
36|12|106|10|2|Steven King|7321098765
37|13|111|6|0|Ashley Wright|9780123456
38|13|124|11|1|Kevin Lopez|7210987654
39|13|116|9|2|Kimberly Hill|9801234567
40|14|112|7|0|Brian Scott|7109876543
41|14|125|13|1|Donna Green|9012345670
42|14|118|8|2|George Adams|7098765432
43|15|115|10|0|Carol Baker|9123450789
44|15|129|6|1|Ronald Gonzalez|8765430219
45|15|121|12|2|Michelle Nelson|9234560890
46|16|113|9|0|Edward Carter|8654320198
47|16|126|14|1|Laura Mitchell|9345607901
48|16|119|7|2|Kevin Perez|8543201987
49|17|106|8|0|Sandra Roberts|9456708012
50|17|128|11|1|Gary Turner|8432019876
51|17|110|5|2|Deborah Phillips|9567089123
52|18|111|13|0|Frank Campbell|8320198765
53|18|132|9|1|Cynthia Parker|9678090234
54|18|122|6|2|Raymond Evans|8209876543
55|19|114|10|0|Shirley Edwards|9789001345
56|19|133|12|1|Dennis Collins|8098654321
57|19|123|7|2|Angela Stewart|9890012456
58|20|112|8|0|Jeffrey Sanchez|7987543210
59|20|130|14|1|Helen Morris|9901023567
60|20|120|9|2|Ryan Rogers|7876432109
